Show_Name,Date_Close,Date_Open,Year,Days Open,Prod_Type,Show_Type,Theatre,,,,
Company,4/12/1993,4/11/1993,1993,1,Original Production,Musical,Vivian Beaumont Theatre,,,,
Raffi,4/11/1993,4/7/1993,1993,4,Original Production,Special,Gershwin Theatre,,,,
Redwood Curtain,5/2/1993,3/30/1993,1993,33,Revival,Play,Brooks Atkinson Theatre,,,,
Candida,5/2/1993,3/25/1993,1993,38,Original Production,Play,Criterion Center Stage Right,,,,
The Song of Jacob Zulu,5/9/1993,3/24/1993,1993,46,Revival,Special,Plymouth Theatre,,,,
The Sisters Rosensweig,7/16/1994,3/18/1993,1993,485,Original Production,Play,Ethel Barrymore Theatre,,,,
The Goodbye Girl,8/15/1993,3/4/1993,1993,164,Original Production,Musical,Marquis Theatre,,,,
Fool Moon,9/5/1993,2/25/1993,1993,192,Original Production,Musical,Richard Rodgers Theatre,,,,
Saint Joan,3/14/1993,1/31/1993,1993,42,Original Production,Play,Lyceum Theatre,,,,
The Boys Choir of Harlem and Friends,1/31/1993,1/19/1993,1993,12,Original Production,Special,Richard Rodgers Theatre,,,,
Anna Christie,2/28/1993,1/14/1993,1993,45,Revival,Play,Criterion Center Stage Right,,,,
A Christmas Carol,1/3/1993,12/17/1992,1992,17,Revival,Play,Broadhurst Theatre,,,,
The Seagull,1/10/1993,11/29/1992,1992,42,Original Production,Play,Lyceum Theatre,,,,
Someone Who'll Watch Over Me,6/13/1993,11/23/1992,1992,202,Original Production,Play,Booth Theatre,,,,
3 from Brooklyn,6/13/1993,11/19/1992,1992,206,Original Production,Special,Hayes Theatre,,,,
Gypsy Passion,1/8/1995,11/17/1992,1992,782,Revival,Special,Plymouth Theatre,,,,
Solitary Confinement,11/29/1992,11/8/1992,1992,21,Original Production,Play,Nederlander Theatre,,,,
The Show Off,12/13/1992,11/5/1992,1992,38,Revival,Play,Criterion Center Stage Right,,,,
Anna Karenina,10/4/1992,8/26/1992,1992,39,Original Production,Musical,Circle in the Square,,,,
The Real Inspector Hound and The Fifteen Minute Hamlet,10/4/1992,8/13/1992,1992,52,Original Production,Special,Criterion Center Stage Right,,,,
Salome,7/29/1992,6/28/1992,1992,31,Original Production,Play,Circle in the Square,,,,
Chinese Coffee,8/1/1992,6/24/1992,1992,38,Original Production,Play,Circle in the Square,,,,
Salome / Chinese Coffee,8/1/1992,6/24/1992,1992,38,Original Production,Play,Circle in the Square,,,,
The Price,7/19/1992,6/10/1992,1992,39,Original Production,Play,Criterion Center Stage Right,,,,
Mike Nichols and Elaine May: Together Again on Broadway,5/4/1992,5/4/1992,1992,0,Original Production,Special,Brooks Atkinson Theatre,,,,
Falsettos,6/27/1993,4/29/1992,1992,424,Revival,Musical,John Golden Theatre,,,,
A Small Family Business,6/7/1992,4/27/1992,1992,41,Original Production,Play,Music Box Theatre,,,,
Jelly's Last Jam,9/5/1993,4/26/1992,1992,497,Original Production,Musical,Virginia Theatre,,,,
Man of La Mancha,7/26/1992,4/24/1992,1992,93,Original Production,Musical,Marquis Theatre,,,,
Shimada,4/25/1992,4/23/1992,1992,2,Original Production,Play,Broadhurst Theatre,,,,
The High Rollers Social and Pleasure Club,5/2/1992,4/21/1992,1992,11,Original Production,Revue,Hayes Theatre,,,,
Metro,4/26/1992,4/16/1992,1992,10,Original Production,Musical,Minskoff Theatre,,,,
Guys and Dolls,1/8/1995,4/14/1992,1992,999,Revival,Musical,Martin Beck Theatre,,,,
Two Trains Running,8/30/1992,4/13/1992,1992,139,Revival,Play,Walter Kerr Theatre,,,,
A Streetcar Named Desire,8/9/1992,4/12/1992,1992,119,Original Production,Play,Ethel Barrymore Theatre,,,,
Five Guys Named Moe,5/2/1993,4/8/1992,1992,389,Original Production,Revue,Eugene O'Neill Theatre,,,,
Hamlet,5/10/1992,4/2/1992,1992,38,Original Production,Play,Criterion Center Stage Right,,,,
Jake's Women,10/25/1992,3/24/1992,1992,215,Original Production,Play,Neil Simon Theatre,,,,
Conversations With My Father,3/14/1993,3/22/1992,1992,357,Original Production,Play,Royale Theatre,,,,
The Master Builder,4/26/1992,3/19/1992,1992,38,Original Production,Play,Belasco Theatre,,,,
Four Baboons Adoring the Sun,4/19/1992,3/18/1992,1992,32,Revival,Play,Vivian Beaumont Theatre,,,,
Death and the Maiden,8/2/1992,3/17/1992,1992,138,Revival,Play,Brooks Atkinson Theatre,,,,
Search and Destroy,4/5/1992,2/26/1992,1992,39,Original Production,Play,Circle in the Square,,,,
Private Lives,3/22/1992,2/20/1992,1992,31,Original Production,Play,Broadhurst Theatre,,,,
Crazy for You,1/7/1996,2/19/1992,1992,1418,Original Production,Musical,Shubert Theatre,,,,
The Most Happy Fella,8/30/1992,2/13/1992,1992,199,Revival,Musical,Booth Theatre,,,,
Crazy He Calls Me,2/1/1992,1/27/1992,1992,5,Revival,Play,Walter Kerr Theatre,,,,
A Little Hotel on the Side,3/1/1992,1/26/1992,1992,35,Revival,Play,Belasco Theatre,,,,
The Visit,3/1/1992,1/23/1992,1992,38,Original Production,Play,Criterion Center Stage Right,,,,
Two Shakespearean Actors,2/9/1992,1/16/1992,1992,24,Revival,Play,Cort Theatre,,,,
A Christmas Carol,12/29/1991,12/19/1991,1991,10,Original Production,Play,Eugene O'Neill Theatre,,,,
The Crucible,1/5/1992,12/10/1991,1991,26,Revival,Play,Belasco Theatre,,,,
Nick & Nora,12/15/1991,12/8/1991,1991,7,Revival,Musical,Marquis Theatre,,,,
Catskills on Broadway,1/3/1993,12/5/1991,1991,395,Original Production,Musical,Lunt-Fontanne Theatre,,,,
Peter Pan,1/5/1992,11/26/1991,1991,40,Original Production,Musical,Minskoff Theatre,,,,
Park Your Car in Harvard Yard,2/22/1992,11/7/1991,1991,107,Original Production,Play,Music Box Theatre,,,,
Moscow Circus - Cirk Valentin,12/1/1991,11/6/1991,1991,25,Revival,Special,Gershwin Theatre,,,,
The Homecoming,12/8/1991,10/27/1991,1991,42,Original Production,Play,Criterion Center Stage Right,,,,
Dancing at Lughnasa,10/25/1992,10/24/1991,1991,367,Original Production,Play,Plymouth Theatre,,,,
Andre Heller's Wonderhouse,10/27/1991,10/20/1991,1991,7,Original Production,Revue,Broadhurst Theatre,,,,
On Borrowed Time,1/5/1992,10/9/1991,1991,88,Original Production,Play,Circle in the Square,,,,
Getting Married,8/25/1991,6/26/1991,1991,60,Original Production,Play,Circle in the Square,,,,
The Will Rogers Follies,9/5/1993,5/1/1991,1991,858,Original Production,Musical,Palace Theatre,,,,
Our Country's Good,6/8/1991,4/29/1991,1991,40,Original Production,Play,Nederlander Theatre,,,,
The Secret Garden,1/3/1993,4/25/1991,1991,619,Original Production,Musical,St. James Theatre,,,,
Miss Saigon,1/28/2001,4/11/1991,1991,3580,Original Production,Musical,Broadway Theatre,,,,
I Hate Hamlet,6/22/1991,4/8/1991,1991,75,Original Production,Play,Walter Kerr Theatre,,,,
Lucifer's Child,4/27/1991,4/4/1991,1991,23,Original Production,Play,Music Box Theatre,,,,
Penn & Teller: The Refrigerator Tour,2/22/1992,4/3/1991,1991,325,Revival,Special,Eugene O'Neill Theatre,,,,
The Big Love,4/7/1991,3/3/1991,1991,35,Original Production,Play,Plymouth Theatre,,,,
The Speed of Darkness,3/30/1991,2/28/1991,1991,30,Original Production,Play,Belasco Theatre,,,,
Lost in Yonkers,1/3/1993,2/21/1991,1991,682,Original Production,Play,Richard Rodgers Theatre,,,,
Taking Steps,4/28/1991,2/20/1991,1991,67,Revival,Play,Circle in the Square,,,,
Mule Bone,4/14/1991,2/14/1991,1991,59,Original Production,Play,Ethel Barrymore Theatre,,,,
La Bete,3/2/1991,2/10/1991,1991,20,Original Production,Play,Eugene O'Neill Theatre,,,,
Monster in a Box,5/27/1991,1/21/1991,1991,126,Original Production,Play,Vivian Beaumont Theatre,,,,
Peter Pan,1/20/1992,12/13/1990,1990,403,Original Production,Musical,Lunt-Fontanne Theatre,,,,
"An Evening with Harry Connick, Jr.",12/8/1990,11/23/1990,1990,15,Original Production,Special,Lunt-Fontanne Theatre,,,,
Shogun: The Musical,1/20/1991,11/20/1990,1990,61,Original Production,Musical,Marquis Theatre,,,,
Fiddler on the Roof,6/16/1991,11/18/1990,1990,210,Original Production,Musical,Gershwin Theatre,,,,
Shadowlands,4/7/1991,11/11/1990,1990,147,Original Production,Play,Brooks Atkinson Theatre,,,,
Six Degrees Of Separation,1/5/1992,11/8/1990,1990,423,Revival,Play,Vivian Beaumont Theatre,,,,
Those Were the Days,1/27/1991,11/7/1990,1990,81,Original Production,Revue,Edison Theatre,,,,
Bobby McFerrin's Voicestra on Broadway,11/10/1990,11/5/1990,1990,5,Original Production,Special,Lunt-Fontanne Theatre,,,,
Buddy,5/19/1991,11/4/1990,1990,196,Original Production,Musical,Shubert Theatre,,,,
"Oh, Kay!",4/14/1991,11/1/1990,1990,164,Original Production,Musical,Richard Rodgers Theatre,,,,
Once On This Island,12/1/1991,10/18/1990,1990,409,Original Production,Musical,Booth Theatre,,,,
Jackie Mason: Brand New,6/16/1991,10/17/1990,1990,242,Original Production,Special,Neil Simon Theatre,,,,
The Miser,12/30/1990,10/11/1990,1990,80,Original Production,Play,Circle in the Square,,,,
Bugs Bunny on Broadway,10/23/1990,10/4/1990,1990,19,Original Production,Special,Gershwin Theatre,,,,
Stand-Up Tragedy,10/16/1990,10/4/1990,1990,12,Original Production,Play,Criterion Center Stage Right,,,,
Michael Feinstein in Concert: Piano and Voice,10/28/1990,10/2/1990,1990,26,Revival,Special,Booth Theatre,,,,
The Cemetery Club,7/1/1990,5/15/1990,1990,47,Original Production,Play,Brooks Atkinson Theatre,,,,
Zoya's Apartment,6/17/1990,5/10/1990,1990,38,Original Production,Play,Circle in the Square,,,,
Some Americans Abroad,6/17/1990,5/2/1990,1990,46,Original Production,Play,Vivian Beaumont Theatre,,,,
Prelude to a Kiss,5/19/1991,5/1/1990,1990,383,Original Production,Play,Hayes Theatre,,,,
A Change in the Heir,5/13/1990,4/29/1990,1990,14,Original Production,Musical,Edison Theatre,,,,
Accomplice,6/10/1990,4/26/1990,1990,45,Original Production,Play,Richard Rodgers Theatre,,,,
Truly Blessed,1/27/1991,4/22/1990,1990,280,Original Production,Musical,Longacre Theatre,,,,
The Piano Lesson,1/27/1991,4/16/1990,1990,286,Original Production,Play,Walter Kerr Theatre,,,,
Aspects of Love,3/2/1991,4/8/1990,1990,328,Revival,Musical,Broadhurst Theatre,,,,
Lettice and Lovage,12/23/1990,3/25/1990,1990,273,Original Production,Play,Ethel Barrymore Theatre,,,,
The Grapes of Wrath,9/2/1990,3/22/1990,1990,164,Original Production,Play,Cort Theatre,,,,
Cat on a Hot Tin Roof,8/1/1990,3/21/1990,1990,133,Original Production,Play,Eugene O'Neill Theatre,,,,
Miss Margarida's Way,2/25/1990,2/15/1990,1990,10,Revival,Play,Hayes Theatre,,,,
Don Cossacks,2/4/1990,1/23/1990,1990,12,Original Production,Special,Neil Simon Theatre,,,,
Annie 2,1/20/1990,1/4/1990,1990,16,Original Production,Musical,Kennedy Center [Eisenhower Theatre],,,,
"Stephanie Mills Comes ""Home"" to Broadway",12/31/1989,12/26/1989,1989,5,Original Production,Special,Brooks Atkinson Theatre,,,,
The Merchant of Venice,3/10/1990,12/19/1989,1989,81,Revival,Play,46th Street Theatre,,,,
Tru,9/1/1990,12/14/1989,1989,261,Original Production,Play,Booth Theatre,,,,
"Peter, Paul & Mary ""A Holiday Celebration""",12/17/1989,12/12/1989,1989,5,Revival,Special,Brooks Atkinson Theatre,,,,
City of Angels,1/19/1992,12/11/1989,1989,769,Original Production,Musical,Virginia Theatre,,,,
The Tenth Man,1/14/1990,12/10/1989,1989,35,Revival,Play,Vivian Beaumont Theatre,,,,
The Victor Borge Holiday Show on Broadway,12/31/1989,12/5/1989,1989,26,Original Production,Musical,Brooks Atkinson Theatre,,,,
Artist Descending a Staircase,12/31/1989,11/30/1989,1989,31,Revival,Play,Hayes Theatre,,,,
The Circle,5/20/1990,11/20/1989,1989,181,Original Production,Play,Ambassador Theatre,,,,
Gypsy,7/28/1991,11/16/1989,1989,619,Revival,Musical,St. James Theatre,,,,
A Few Good Men,1/26/1991,11/15/1989,1989,437,Original Production,Play,Music Box Theatre,,,,
Grand Hotel,4/25/1992,11/12/1989,1989,895,Original Production,Musical,Martin Beck Theatre,,,,
Prince of Central Park,11/11/1989,11/9/1989,1989,2,Original Production,Musical,Belasco Theatre,,,,
The Threepenny Opera,12/31/1989,11/5/1989,1989,56,Original Production,Musical,Lunt-Fontanne Theatre,,,,
Meet Me in St. Louis,6/10/1990,11/2/1989,1989,220,Revival,Musical,Gershwin Theatre,,,,
Sid Caesar & Company,11/4/1989,11/1/1989,1989,3,Original Production,Special,John Golden Theatre,,,,
Love Letters,1/21/1990,10/31/1989,1989,82,Original Production,Play,Edison Theatre,,,,
The Secret Rapture,11/4/1989,10/26/1989,1989,9,Original Production,Play,Ethel Barrymore Theatre,,,,
Dangerous Games,10/21/1989,10/19/1989,1989,2,Original Production,Musical,Nederlander Theatre,,,,
Mastergate,12/10/1989,10/12/1989,1989,59,Original Production,Play,Criterion Center Stage Right,,,,
Orpheus Descending,12/17/1989,9/24/1989,1989,84,Revival,Play,Neil Simon Theatre,,,,
Sweeney Todd,2/25/1990,9/14/1989,1989,164,Revival,Musical,Circle in the Square,,,,
Durante,11/26/1989,8/12/1989,1989,106,Original Production,Musical,Bluma Appel Theatre [St. Lawrence Centre for the Arts],,,,
Shenandoah,9/2/1989,8/8/1989,1989,25,Original Production,Musical,Virginia Theatre,,,,
Mandy Patinkin in Concert: Dress Casual,9/16/1989,7/25/1989,1989,53,Original Production,Musical,Hayes Theatre,,,,
Largely New York,9/2/1989,5/1/1989,1989,124,Revival,Play,St. James Theatre,,,,
Ghetto,5/28/1989,4/30/1989,1989,28,Revival,Play,Circle in the Square,,,,
Starmites,6/18/1989,4/27/1989,1989,52,Original Production,Musical,Criterion Center Stage Right,,,,
The Players Club Centennial Salute,4/23/1989,4/23/1989,1989,0,Original Production,Special,Shubert Theatre,,,,
Barry Manilow at the Gershwin,6/10/1989,4/18/1989,1989,53,Original Production,Special,Gershwin Theatre,,,,
Welcome to the Club,4/22/1989,4/13/1989,1989,9,Original Production,Musical,Music Box Theatre,,,,
Chu Chem,5/14/1989,3/17/1989,1989,58,Original Production,Musical,Ritz Theatre,,,,
The Heidi Chronicles,9/1/1990,3/9/1989,1989,541,Original Production,Play,Plymouth Theatre,,,,
Run for Your Wife,4/9/1989,3/7/1989,1989,33,Original Production,Play,Virginia Theatre,,,,
Metamorphosis,7/1/1989,3/6/1989,1989,117,Original Production,Play,Ethel Barrymore Theatre,,,,
Lend Me a Tenor,4/22/1990,3/2/1989,1989,416,Original Production,Play,Royale Theatre,,,,
Joan Jett and the Black Hearts on Broadway,3/5/1989,3/1/1989,1989,4,Revival,Special,Lunt-Fontanne Theatre,,,,
Jerome Robbins' Broadway,9/1/1990,2/26/1989,1989,552,Original Production,Revue,Imperial Theatre,,,,
Hizzoner!,3/5/1989,2/23/1989,1989,10,Original Production,Play,Longacre Theatre,,,,
Cafe Crown,3/26/1989,2/18/1989,1989,36,Revival,Play,Brooks Atkinson Theatre,,,,
Shirley Valentine,11/25/1989,2/16/1989,1989,282,Original Production,Play,Booth Theatre,,,,
Born Yesterday,6/11/1989,1/29/1989,1989,133,Original Production,Play,46th Street Theatre,,,,
Black and Blue,1/20/1991,1/26/1989,1989,724,Original Production,Revue,Minskoff Theatre,,,,
Eastern Standard,3/25/1989,1/5/1989,1989,79,Revival,Play,John Golden Theatre,,,,
Legs Diamond,2/19/1989,12/26/1988,1988,55,Original Production,Musical,Mark Hellinger Theatre,,,,
Our Town,4/2/1989,12/4/1988,1988,119,Revival,Play,Lyceum Theatre,,,,
Rumors,2/24/1990,11/17/1988,1988,464,Original Production,Play,Broadhurst Theatre,,,,
The Devil's Disciple,2/19/1989,11/13/1988,1988,98,Original Production,Play,Circle in the Square,,,,
Spoils of War,12/10/1988,11/10/1988,1988,30,Original Production,Play,Music Box Theatre,,,,
Kenny Loggins on Broadway,11/6/1988,11/1/1988,1988,5,Revival,Special,Neil Simon Theatre,,,,
A Celebration of Paul Robeson,10/30/1988,10/30/1988,1988,0,Revival,Special,Shubert Theatre,,,,
Paul Robeson,10/9/1988,9/28/1988,1988,11,Original Production,Play,John Golden Theatre,,,,
The Georgian State Dance Company,9/4/1988,8/16/1988,1988,19,Original Production,Special,Mark Hellinger Theatre,,,,
Ain't Misbehavin',1/15/1989,8/15/1988,1988,153,Original Production,Revue,Ambassador Theatre,,,,
Checkmates,12/31/1988,8/4/1988,1988,149,Original Production,Play,46th Street Theatre,,,,
Canciones de mi Padre,7/30/1988,7/12/1988,1988,18,Original Production,Special,Minskoff Theatre,,,,
The Night of the Iguana,9/4/1988,6/26/1988,1988,70,Original Production,Play,Circle in the Square,,,,
"Ah, Wilderness!",7/23/1988,6/23/1988,1988,30,Original Production,Play,Neil Simon Theatre,,,,
Juno and the Paycock,7/2/1988,6/21/1988,1988,11,Original Production,Play,John Golden Theatre,,,,
An Evening With Robert Klein,1/15/1989,6/19/1988,1988,210,Original Production,Special,Circle in the Square,,,,
Long Day's Journey Into Night,7/23/1988,6/14/1988,1988,39,Original Production,Play,Neil Simon Theatre,,,,
"Long Day's Journey Into Night / Ah, Wilderness!",7/23/1988,6/14/1988,1988,39,Original Production,Play,,,,,
Carrie,5/15/1988,5/12/1988,1988,3,Original Production,Musical,Royal Shakespeare Theatre,,,,
Speed-the-Plow,12/31/1988,5/3/1988,1988,242,Original Production,Play,Royale Theatre,,,,
Jackie Mason's The World According to Me!,12/31/1988,5/2/1988,1988,243,Revival,Special,Brooks Atkinson Theatre,,,,
Romance / Romance,1/15/1989,5/1/1988,1988,259,Original Production,Musical,Hayes Theatre,,,,
Chess,6/25/1988,4/28/1988,1988,58,Original Production,Musical,Imperial Theatre,,,,
Macbeth,6/26/1988,4/21/1988,1988,66,Revival,Play,Mark Hellinger Theatre,,,,
Michael Feinstein in Concert,5/15/1988,4/19/1988,1988,26,Original Production,Special,Lyceum Theatre,,,,
Mail,5/15/1988,4/14/1988,1988,31,Original Production,Musical,Music Box Theatre,,,,
Oba Oba,5/15/1988,3/29/1988,1988,47,Original Production,Special,Ambassador Theatre,,,,
Joe Turner's Come and Gone,6/26/1988,3/27/1988,1988,91,Original Production,Play,Ethel Barrymore Theatre,,,,
The Gospel at Colonus,5/15/1988,3/24/1988,1988,52,Original Production,Musical,Lunt-Fontanne Theatre,,,,
M. Butterfly,1/27/1990,3/20/1988,1988,678,Revival,Play,Eugene O'Neill Theatre,,,,
A Streetcar Named Desire,5/22/1988,3/10/1988,1988,73,Revival,Play,Circle in the Square,,,,
A Walk in the Woods,6/26/1988,2/28/1988,1988,119,Original Production,Play,Booth Theatre,,,,
Serious Money,2/20/1988,2/9/1988,1988,11,Revival,Play,Royale Theatre,,,,
Rodney Dangerfield On Broadway!,2/14/1988,2/2/1988,1988,12,Revival,Special,Mark Hellinger Theatre,,,,
Sarafina!,7/2/1989,1/28/1988,1988,521,Original Production,Musical,Cort Theatre,,,,
The Phantom of the Opera,,1/26/1988,1988,,Original Production,Musical,Majestic Theatre,,,,
Virsky's Ukrainian State Dance Company,1/24/1988,1/12/1988,1988,12,Original Production,Special,Mark Hellinger Theatre,,,,
Sweet Sue,5/31/1988,1/8/1988,1988,144,Original Production,Play,Music Box Theatre,,,,
Penn & Teller,5/18/2003,12/1/1987,1987,5647,Original Production,Special,Ritz Theatre,,,,
Breaking the Code,4/10/1988,11/15/1987,1987,147,Original Production,Play,Neil Simon Theatre,,,,
Teddy & Alice,1/17/1988,11/12/1987,1987,66,Revival,Musical,Minskoff Theatre,,,,
Into the Woods,9/3/1989,11/5/1987,1987,668,Original Production,Musical,Martin Beck Theatre,,,,
Don't Get God Started,1/10/1988,10/29/1987,1987,73,Original Production,Musical,Longacre Theatre,,,,
Podrecca Puppet Theatre Company,10/23/1987,10/23/1987,1987,0,Original Production,Special,Mark Hellinger Theatre,,,,
Cabaret,6/4/1988,10/22/1987,1987,226,Original Production,Musical,Imperial Theatre,,,,
Anything Goes,9/3/1989,10/19/1987,1987,685,Original Production,Musical,Vivian Beaumont Theatre,,,,
La Serva Amorosa,10/27/1987,10/17/1987,1987,10,Original Production,Play,Mark Hellinger Theatre,,,,
Jerry Garcia Acoustic & Electric,10/31/1987,10/15/1987,1987,16,Original Production,Special,Lunt-Fontanne Theatre,,,,
Late Nite Comic,10/17/1987,10/15/1987,1987,2,Revival,Musical,Ritz Theatre,,,,
Burn This,10/29/1988,10/14/1987,1987,381,Original Production,Play,Plymouth Theatre,,,,
Il Berretto a Songali,10/16/1987,10/14/1987,1987,2,Original Production,Play,Mark Hellinger Theatre,,,,
Tom Waits in Concert on Broadway,10/18/1987,10/13/1987,1987,5,Original Production,Special,Eugene O'Neill Theatre,,,,
Mort Sahl on Broadway!,5/18/2003,10/11/1987,1987,5698,Original Production,Special,Neil Simon Theatre,,,,
Pulcinella,10/11/1987,10/9/1987,1987,2,Original Production,Play,Mark Hellinger Theatre,,,,
La Serva Padrona,10/6/1987,10/6/1987,1987,0,Original Production,Special,Mark Hellinger Theatre,,,,
Roza,10/11/1987,10/1/1987,1987,10,Original Production,Musical,Royale Theatre,,,,
Sherlock's Last Case,12/6/1987,8/20/1987,1987,108,Original Production,Play,Nederlander Theatre,,,,
Dreamgirls,11/29/1987,6/28/1987,1987,154,Original Production,Musical,Ambassador Theatre,,,,
Broadway,6/27/1987,6/25/1987,1987,2,Original Production,Play,Royale Theatre,,,,
"Happy Birthday, Mr. Abbott!",6/22/1987,6/22/1987,1987,0,Revival,Special,Palace Theatre,,,,
The Comedy of Errors,7/26/1987,5/31/1987,1987,56,Revival,Play,Vivian Beaumont Theatre,,,,
Sleight of Hand,5/9/1987,5/3/1987,1987,6,Original Production,Play,Cort Theatre,,,,
Les Liaisons Dangereuses,9/6/1987,4/30/1987,1987,129,Revival,Play,Music Box Theatre,,,,
Pygmalion,8/2/1987,4/26/1987,1987,98,Original Production,Play,Plymouth Theatre,,,,
Asinamali!,5/17/1987,4/23/1987,1987,24,Original Production,Play,Jack Lawrence Theatre,,,,
All My Sons,5/17/1987,4/22/1987,1987,25,Original Production,Play,John Golden Theatre,,,,
A Month of Sundays,4/18/1987,4/16/1987,1987,2,Original Production,Play,Ritz Theatre,,,,
Barbara Cook: A Concert for the Theatre,4/26/1987,4/15/1987,1987,11,Original Production,Special,Ambassador Theatre,,,,
The Regard of Flight,4/26/1987,4/12/1987,1987,14,Original Production,Special,Vivian Beaumont Theatre,,,,
The Musical Comedy Murders of 1940,8/1/1987,4/6/1987,1987,117,Original Production,Play,Longacre Theatre,,,,
Safe Sex,4/12/1987,4/5/1987,1987,7,Original Production,Play,Lyceum Theatre,,,,
The Mikado,5/3/1987,4/2/1987,1987,31,Revival,Operetta,New York City Center,,,,
Blithe Spirit,6/28/1987,3/31/1987,1987,89,Revival,Play,Neil Simon Theatre,,,,
Fences,6/26/1988,3/26/1987,1987,458,Original Production,Play,46th Street Theatre,,,,
The Nerd,4/10/1988,3/22/1987,1987,385,Original Production,Play,Hayes Theatre,,,,
Starlight Express,1/8/1989,3/15/1987,1987,665,Original Production,Musical,Gershwin Theatre,,,,
Les Miserables,5/18/2003,3/12/1987,1987,5911,Original Production,Musical,Kennedy Center [Eisenhower Theatre],,,,
Coastal Disturbances,1/3/1988,3/4/1987,1987,305,Original Production,Play,Circle in the Square,,,,
Death and the King's Horseman,3/29/1987,3/1/1987,1987,28,Original Production,Play,Vivian Beaumont Theatre,,,,
Stardust,5/17/1987,2/19/1987,1987,87,Original Production,Revue,Biltmore Theatre,,,,
Stepping Out,3/15/1987,1/11/1987,1987,63,Original Production,Play,John Golden Theatre,,,,
Smokey Robinson Plus Jean Carne,12/31/1986,12/26/1986,1986,5,Original Production,Special,Mark Hellinger Theatre,,,,
Jackie Mason's The World According to Me!,1/2/1988,12/22/1986,1986,376,Original Production,Special,Brooks Atkinson Theatre,,,,
Wild Honey,1/11/1987,12/18/1986,1986,24,Original Production,Play,Virginia Theatre,,,,
Broadway Bound,9/25/1988,12/4/1986,1986,661,Original Production,Play,Broadhurst Theatre,,,,
Smile,1/3/1987,11/24/1986,1986,40,Revival,Musical,Lunt-Fontanne Theatre,,,,
The Front Page,1/11/1987,11/23/1986,1986,49,Original Production,Play,Vivian Beaumont Theatre,,,,
Oh Coward!,1/3/1987,11/17/1986,1986,47,Original Production,Musical,Hayes Theatre,,,,
As You Like It,5/31/1987,11/12/1986,1986,200,Original Production,Play,Belasco Theatre,,,,
Macbeth,5/31/1987,11/12/1986,1986,200,Original Production,Play,Belasco Theatre,,,,
Romeo and Juliet,5/31/1987,11/12/1986,1986,200,Revival,Play,Belasco Theatre,,,,
L'Chaim to Life,12/21/1986,11/5/1986,1986,46,Original Production,Revue,Town Hall,,,,
A Little Like Magic,12/7/1986,10/26/1986,1986,42,Original Production,Special,Lyceum Theatre,,,,
Into the Light,10/26/1986,10/22/1986,1986,4,Original Production,Musical,Neil Simon Theatre,,,,
Costello Sings Again,10/25/1986,10/21/1986,1986,4,Original Production,Special,Broadway Theatre,,,,
Flamenco Puro,11/30/1986,10/19/1986,1986,42,Original Production,Revue,Mark Hellinger Theatre,,,,
Raggedy Ann,10/19/1986,10/16/1986,1986,3,Revival,Musical,Nederlander Theatre,,,,
Rowan Atkinson at the Atkinson,10/18/1986,10/14/1986,1986,4,Original Production,Special,Brooks Atkinson Theatre,,,,
You Never Can Tell,1/25/1987,10/9/1986,1986,108,Original Production,Play,Circle in the Square,,,,
The Life and Adventures of Nicholas Nickleby,10/12/1986,8/24/1986,1986,49,Original Production,Play,Broadhurst Theatre,,,,
Rags,8/23/1986,8/21/1986,1986,2,Revival,Musical,Mark Hellinger Theatre,,,,
Me and My Girl,12/31/1989,8/10/1986,1986,1239,Revival,Musical,Marquis Theatre,,,,
Honky Tonk Nights,8/9/1986,8/7/1986,1986,2,Original Production,Musical,Biltmore Theatre,,,,
Cuba & His Teddy Bear,9/21/1986,7/16/1986,1986,67,Original Production,Special,Longacre Theatre,,,,
Shirley Bassey,7/15/1986,7/9/1986,1986,6,Original Production,Special,Marquis Theatre,,,,
Arsenic and Old Lace,1/3/1987,6/26/1986,1986,191,Original Production,Play,46th Street Theatre,,,,
Robert Klein on Broadway,6/25/1986,6/25/1986,1986,0,Original Production,Special,Nederlander Theatre,,,,
"Mummenschanz: ""The New Show""",10/26/1986,6/17/1986,1986,131,Original Production,Special,Hayes Theatre,,,,
Shout Up a Morning,7/14/1986,6/3/1986,1986,41,Original Production,Musical,La Jolla Playhouse,,,,
The Boys in Autumn,6/29/1986,4/30/1986,1986,60,Revival,Play,Circle in the Square,,,,
The House of Blue Leaves,3/15/1987,4/29/1986,1986,320,Revival,Play,Vivian Beaumont Theatre,,,,
Long Day's Journey Into Night,6/29/1986,4/28/1986,1986,62,Original Production,Play,Broadhurst Theatre,,,,
Sweet Charity,3/15/1987,4/27/1986,1986,322,Original Production,Musical,Minskoff Theatre,,,,
The Petition,6/29/1986,4/24/1986,1986,66,Revival,Play,John Golden Theatre,,,,
Social Security,3/22/1987,4/17/1986,1986,339,Original Production,Play,Ethel Barrymore Theatre,,,,
Big Deal,6/8/1986,4/10/1986,1986,59,Original Production,Musical,Broadway Theatre,,,,
Loot,6/28/1986,4/7/1986,1986,82,Revival,Play,Music Box Theatre,,,,
So Long on Lonely Street,5/18/1986,4/3/1986,1986,45,Original Production,Play,Jack Lawrence Theatre,,,,
"The Flying Karamazov Brothers ""Juggling and Cheap Theatrics""",4/20/1986,4/1/1986,1986,19,Original Production,Special,Vivian Beaumont Theatre,,,,
